"","tourney_date","tourney_name","surface","draw_size","tourney_level","match_num","winner_id","loser_id","best_of","winner_rank","winner_rank_points","loser_rank","loser_rank_points","player_rank","player_id"
"116",2011-11-07,"Paris Masters","Hard",48,"M",22,104545,103852,"3",25,1450,21,1675,21,"Feliciano Lopez"
"117",2011-11-07,"Paris Masters","Hard",48,"M",23,103852,103566,"3",21,1675,32,1265,21,"Feliciano Lopez"
"118",2011-11-07,"Paris Masters","Hard",48,"M",24,103852,104792,"3",21,1675,10,2525,21,"Feliciano Lopez"
"119",2012-01-09,"Sydney","Hard",28,"A",15,103898,103852,"3",49,900,19,1755,19,"Feliciano Lopez"
"120",2012-01-16,"Australian Open","Hard",128,"G",60,103852,104919,"5",19,1755,80,659,19,"Feliciano Lopez"
"121",2012-01-16,"Australian Open","Hard",128,"G",94,103852,104262,"5",19,1755,76,671,19,"Feliciano Lopez"
"122",2012-01-16,"Australian Open","Hard",128,"G",111,103852,104545,"5",19,1755,17,1800,19,"Feliciano Lopez"
"123",2012-01-16,"Australian Open","Hard",128,"G",120,104745,103852,"5",2,9595,19,1755,19,"Feliciano Lopez"
"124",2012-01-30,"Montpellier","Hard",28,"A",10,103852,103857,"3",15,1890,80,657,15,"Feliciano Lopez"
"125",2012-01-30,"Montpellier","Hard",28,"A",19,105558,103852,"3",209,228,15,1890,15,"Feliciano Lopez"
"126",2012-01-30,"Zagreb","Hard",32,"A",11,104198,105554,"3",77,675,296,152,296,"Daniel Evans"
"127",2012-02-10,"Davis Cup G1 R1: GBR vs SVK","Hard",4,"D",1,105554,105041,"5",276,164,65,726,276,"Daniel Evans"
"128",2012-02-10,"Davis Cup G1 R1: GBR vs SVK","Hard",4,"D",5,105554,105373,"5",276,164,120,482,276,"Daniel Evans"
"129",2012-02-13,"Rotterdam","Hard",32,"A",5,103908,103852,"3",733,20,15,1890,15,"Feliciano Lopez"
"130",2012-02-27,"Dubai","Hard",32,"A",15,103852,103917,"3",15,1890,83,638,15,"Feliciano Lopez"
"131",2012-02-27,"Dubai","Hard",32,"A",24,103819,103852,"3",3,8235,15,1890,15,"Feliciano Lopez"
"132",2012-03-08,"Indian Wells Masters","Hard",96,"M",61,104571,103852,"3",47,975,15,1890,15,"Feliciano Lopez"
"133",2012-03-21,"Miami Masters","Hard",96,"M",36,105077,103852,"3",56,832,15,1890,15,"Feliciano Lopez"
"134",2012-04-06,"Davis Cup G1 R2: GBR vs BEL","Hard",4,"D",2,103694,105554,"5",59,801,344,123,344,"Daniel Evans"
"135",2012-04-06,"Davis Cup G1 R2: GBR vs BEL","Hard",4,"D",5,105074,105554,"3",145,375,344,123,344,"Daniel Evans"
"136",2012-04-09,"Houston","Clay",28,"A",18,103852,103893,"3",15,1855,96,563,15,"Feliciano Lopez"
"137",2012-04-09,"Houston","Clay",28,"A",23,103852,104122,"3",15,1855,37,1051,15,"Feliciano Lopez"
"138",2012-04-09,"Houston","Clay",28,"A",26,104545,103852,"3",10,2710,15,1855,15,"Feliciano Lopez"
"139",2012-04-15,"Monte Carlo Masters","Clay",56,"M",21,104527,103852,"3",26,1290,16,1900,16,"Feliciano Lopez"
"140",2012-04-23,"Barcelona","Clay",56,"A",33,103852,104262,"3",16,1855,70,686,16,"Feliciano Lopez"
"141",2012-04-23,"Barcelona","Clay",56,"A",45,103852,103813,"3",16,1855,47,968,16,"Feliciano Lopez"
"142",2012-04-23,"Barcelona","Clay",56,"A",51,103970,103852,"3",6,4160,16,1855,16,"Feliciano Lopez"
"143",2012-04-30,"Munich","Clay",28,"A",20,103852,104660,"3",16,1795,68,700,16,"Feliciano Lopez"
