tourney_date,tourney_name,surface,draw_size,tourney_level,match_num,winner_id,loser_id,best_of,winner_rank,winner_rank_points,loser_rank,loser_rank_points
299,Hard,32,A,20000214,102450,,,SF,,,,
298,Hard,32,A,20000214,101682,,,SF,,,,
297,Hard,32,A,20000214,101885,,,QF,,,,
296,Hard,32,A,20000214,101682,,,QF,,,,
295,Hard,32,A,20000214,102562,,,QF,,,,
294,Hard,32,A,20000214,102450,,,QF,,,,
293,Hard,32,A,20000214,101885,,,R16,,,,
292,Hard,32,A,20000214,101682,,,R16,,,,
291,Hard,32,A,20000214,101358,,,R16,,,,
290,Hard,32,A,20000214,102450,,,R16,,,,
289,Hard,32,A,20000214,101507,,,R16,,,,
288,Hard,32,A,20000214,101900,,,R16,,,,
287,Hard,32,A,20000214,102562,,,R16,,,,
286,Hard,32,A,20000214,102854,,,R16,,,,
300,Hard,32,A,20000221,101682,,,F,,,,
299,Hard,32,A,20000221,101682,,,SF,,,,
298,Hard,32,A,20000221,102998,,,SF,,,,
297,Hard,32,A,20000221,102215,,,QF,,,,
296,Hard,32,A,20000221,101682,,,QF,,,,
295,Hard,32,A,20000221,102998,,,QF,,,,
294,Hard,32,A,20000221,101366,,,QF,,,,
293,Hard,32,A,20000221,102450,,,R16,,,,
292,Hard,32,A,20000221,101885,,,R16,,,,
291,Hard,32,A,20000221,101682,,,R16,,,,
290,Hard,32,A,20000221,102998,,,R16,,,,
289,Hard,32,A,20000221,102215,,,R16,,,,
288,Hard,32,A,20000221,102344,,,R16,,,,
287,Hard,32,A,20000221,101366,,,R16,,,,
286,Hard,32,A,20000221,102148,,,R16,,,,
300,Clay,32,A,20000410,101704,,,F,,,,
299,Clay,32,A,20000410,101704,,,SF,,,,
298,Clay,32,A,20000410,102925,,,SF,,,,
297,Clay,32,A,20000410,101704,,,QF,,,,
296,Clay,32,A,20000410,101185,,,QF,,,,
295,Clay,32,A,20000410,102925,,,QF,,,,
294,Clay,32,A,20000410,101342,,,QF,,,,
293,Clay,32,A,20000410,101704,,,R16,,,,
292,Clay,32,A,20000410,101185,,,R16,,,,
291,Clay,32,A,20000410,102925,,,R16,,,,
290,Clay,32,A,20000410,101342,,,R16,,,,
289,Clay,32,A,20000410,103031,,,R16,,,,
288,Clay,32,A,20000410,103184,,,R16,,,,
287,Clay,32,A,20000410,102979,,,R16,,,,
286,Clay,32,A,20000410,102795,,,R16,,,,
300,Clay,64,M,20000417,101965,,,F,,,,
299,Clay,64,M,20000417,101965,,,SF,,,,
298,Clay,64,M,20000417,101235,,,SF,,,,
297,Clay,64,M,20000417,101711,,,QF,,,,
296,Clay,64,M,20000417,102765,,,QF,,,,
295,Clay,64,M,20000417,101235,,,QF,,,,
294,Clay,64,M,20000417,101965,,,QF,,,,
293,Clay,64,M,20000417,101711,,,R16,,,,
292,Clay,64,M,20000417,101704,,,R16,,,,
291,Clay,64,M,20000417,101235,,,R16,,,,
290,Clay,64,M,20000417,101507,,,R16,,,,
289,Clay,64,M,20000417,102562,,,R16,,,,
288,Clay,64,M,20000417,102765,,,R16,,,,
287,Clay,64,M,20000417,101965,,,R16,,,,
286,Clay,64,M,20000417,101900,,,R16,,,,
285,Clay,64,M,20000417,101711,,,R32,,,,
284,Clay,64,M,20000417,101704,,,R32,,,,
